date,DELA,arsltarmdcrresw,LENO,arsltarmdcrprcw,huyckpreserveny,arsgreatbasinltar098,laclaflamme
1/1/2019,FLOOD,,,,,,
1/2/2019,FLOOD,,FLOOD,,,,
1/3/2019,FLOOD,,FLOOD,,,,
1/4/2019,FLOOD,,FLOOD,,,,
1/5/2019,FLOOD,,FLOOD,,,,
1/6/2019,FLOOD,,FLOOD,,,,
1/7/2019,FLOOD,,FLOOD,,,,
1/8/2019,,,FLOOD,,,,
1/9/2019,,,FLOOD,,,,
1/10/2019,,,FLOOD,,,,
1/11/2019,,,,,,,
1/12/2019,,,,,,,
1/13/2019,,,,,,,
1/14/2019,,,,,,,
1/15/2019,,,,,,,
1/16/2019,,,,,,,
1/17/2019,,,,,,,
1/18/2019,,,,,,,
1/19/2019,,,,,,,
1/20/2019,,,,,,,
1/21/2019,,,,,,,
1/22/2019,,,,,,,
1/23/2019,,,,,,,
1/24/2019,,,,,,,
1/25/2019,,,,,,,
1/26/2019,,,,,,,
1/27/2019,,,,,,,
1/28/2019,,,,,,,
1/29/2019,,,,,,,
1/30/2019,,,,,,,
1/31/2019,,,,,,,
2/1/2019,,,DRY,,,,
2/2/2019,,,DRY,,,,
2/3/2019,,,DRY,,,,
2/4/2019,,,DRY,,,,
2/5/2019,,,DRY,,,,
2/6/2019,,,DRY,,,,
2/7/2019,,,DRY,,,,
2/8/2019,,,DRY,,,,
2/9/2019,,,DRY,,,,
2/10/2019,,,DRY,,,,
2/11/2019,,,DRY,,,,
2/12/2019,,,DRY,,,,
2/13/2019,,,DRY,,,,
2/14/2019,,,DRY,,,,
2/15/2019,,,DRY,,,,
2/16/2019,,,DRY,,,,
2/17/2019,,,DRY,,,,
2/18/2019,,,DRY,,,,
2/19/2019,,,DRY,,,,
2/20/2019,,,DRY,,,,
2/21/2019,,,DRY,,,,
2/22/2019,FLOOD,,DRY,,,,
2/23/2019,FLOOD,,DRY,,,,
2/24/2019,FLOOD,,DRY,,,,
2/25/2019,FLOOD,,DRY,,,,
2/26/2019,FLOOD,,FLOOD,,,,
2/27/2019,FLOOD,,FLOOD,,,,
2/28/2019,FLOOD,,FLOOD,,,,
3/1/2019,FLOOD,,FLOOD,,,,
3/2/2019,FLOOD,,FLOOD,,,,
3/3/2019,FLOOD,,FLOOD,,,,
3/4/2019,FLOOD,,FLOOD,,,,
3/5/2019,FLOOD,,,,,,
3/6/2019,FLOOD,,,,,,
3/7/2019,,,,,,,
3/8/2019,,,,,,,
3/9/2019,,,,,,,
3/10/2019,,,,,,,
3/11/2019,,,,,,,
3/12/2019,,,,,,,
3/13/2019,,,,,,,
3/14/2019,,,,,,,
3/15/2019,,,,,,,
3/16/2019,,,,,,,
3/17/2019,,,,,,,
3/18/2019,,,,,,,
3/19/2019,,,,,,,
3/20/2019,,,,,,,
3/21/2019,DRY,,,,,,
3/22/2019,DRY,,,,,,
3/23/2019,DRY,,,,,,
3/24/2019,DRY,,,,,,
3/25/2019,DRY,,,,,,
3/26/2019,DRY,,,,,,
3/27/2019,DRY,,,,,,
3/28/2019,DRY,,,,,,
3/29/2019,DRY,,,,,,
3/30/2019,DRY,,,,,,
3/31/2019,DRY,,,,,,
4/1/2019,DRY,FLOOD,DRY,,,,
4/2/2019,DRY,FLOOD,DRY,,,,
4/3/2019,DRY,FLOOD,DRY,,,,
4/4/2019,DRY,FLOOD,DRY,,,,
4/5/2019,DRY,FLOOD,DRY,,,,
4/6/2019,DRY,FLOOD,DRY,,,,
4/7/2019,DRY,FLOOD,DRY,,,,
4/8/2019,DRY,FLOOD,DRY,,,,
4/9/2019,DRY,FLOOD,DRY,,,,
4/10/2019,DRY,FLOOD,DRY,,,,
4/11/2019,DRY,FLOOD,DRY,,,,
4/12/2019,DRY,FLOOD,DRY,,,,
4/13/2019,DRY,FLOOD,DRY,,,,
4/14/2019,,FLOOD,DRY,,,,
4/15/2019,,FLOOD,DRY,,,,
4/16/2019,,FLOOD,DRY,,,,
4/17/2019,,FLOOD,DRY,,,,
