date,DELA,arsltarmdcrresw,LENO,arsltarmdcrprcw,huyckpreserveny,arsgreatbasinltar098,laclaflamme,LIRO,NIWO
1/1/2019,FLOOD,,,,,,,SNOW,
1/2/2019,FLOOD,,FLOOD,,,,,SNOW,
1/3/2019,FLOOD,,FLOOD,,,,,SNOW,
1/4/2019,FLOOD,,FLOOD,,,,,SNOW,
1/5/2019,FLOOD,,FLOOD,,,,,SNOW,
1/6/2019,FLOOD,,FLOOD,,,,,SNOW,
1/7/2019,FLOOD,,FLOOD,,,,,SNOW,
1/8/2019,,,FLOOD,,,,,SNOW,
1/9/2019,PARTIAL FLOOD,,FLOOD,,,,,SNOW,
1/10/2019,PARTIAL FLOOD,,FLOOD,,,,,SNOW,
1/11/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/12/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/13/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/14/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/15/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/16/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/17/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/18/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/19/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/20/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/21/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/22/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/23/2019,PARTIAL FLOOD,,PARTIAL FLOOD,,,,,SNOW,
1/24/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/25/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/26/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/27/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/28/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/29/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/30/2019,PARTIAL FLOOD,,,,,,,SNOW,
1/31/2019,PARTIAL FLOOD,,,,,,,SNOW,
2/1/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/2/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/3/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/4/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/5/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/6/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/7/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/8/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/9/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/10/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/11/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/12/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/13/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/14/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/15/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/16/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/17/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/18/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/19/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/20/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/21/2019,PARTIAL FLOOD,,DRY,,,,,SNOW,
2/22/2019,FLOOD,,DRY,,,,,SNOW,
2/23/2019,FLOOD,,DRY,,,,,SNOW,
2/24/2019,FLOOD,,DRY,,,,,SNOW,
2/25/2019,FLOOD,,DRY,,,,,SNOW,
2/26/2019,FLOOD,,PARTIAL FLOOD,,,,,SNOW,
2/27/2019,FLOOD,,FLOOD,,,,,SNOW,
2/28/2019,FLOOD,,FLOOD,,,,,SNOW,
3/1/2019,FLOOD,,FLOOD,,,,,SNOW,
3/2/2019,FLOOD,,FLOOD,,,,,SNOW,
3/3/2019,FLOOD,,FLOOD,,,,,SNOW,
3/4/2019,FLOOD,,FLOOD,,,,,SNOW,
3/5/2019,FLOOD,,,,,,,SNOW,
3/6/2019,FLOOD,,,,,,,SNOW,
3/7/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/8/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/9/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/10/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/11/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/12/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/13/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/14/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/15/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/16/2019,PARTIAL FLOOD,,,,,,,SNOW,
3/17/2019,PARTIAL FLOOD,,,,,,,SNOW,SNOW
3/18/2019,PARTIAL FLOOD,,,,,,,SNOW,SNOW
3/19/2019,PARTIAL FLOOD,,,,,,,SNOW,SNOW
3/20/2019,PARTIAL FLOOD,,,,,,,SNOW,SNOW
3/21/2019,DRY,,,,,,,SNOW,SNOW
3/22/2019,DRY,,,,,,,SNOW,SNOW
3/23/2019,DRY,,,,,,,SNOW,SNOW
3/24/2019,DRY,,,,,,,SNOW,SNOW
3/25/2019,DRY,,,,,,,SNOW,SNOW
3/26/2019,DRY,,,,,,,SNOW,SNOW
3/27/2019,DRY,,,,,,,SNOW,SNOW
3/28/2019,DRY,,,,,,,SNOW,SNOW
3/29/2019,DRY,,,,,,,SNOW,SNOW
3/30/2019,DRY,,,,,,,SNOW,SNOW
3/31/2019,DRY,,,,,,,SNOW,SNOW
4/1/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/2/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/3/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/4/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/5/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/6/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/7/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/8/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/9/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/10/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/11/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/12/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/13/2019,DRY,FLOOD,DRY,,,,,,SNOW
4/14/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/15/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/16/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/17/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/18/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/19/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/20/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/21/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/22/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/23/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/24/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/25/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/26/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/27/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/28/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/29/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
4/30/2019,PARTIAL FLOOD,FLOOD,DRY,,,,,,SNOW
5/1/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/2/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/3/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/4/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/5/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/6/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/7/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/8/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/9/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/10/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/11/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/12/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/13/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/14/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/15/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/16/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/17/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/18/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/19/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/20/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/21/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/22/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/23/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/24/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/25/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/26/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/27/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/28/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
5/29/2019,DRY,FLOOD,,,,DRY,,FLOOD,SNOW
