site,trace,heavy
ABBY,10,40
BARR,25,40
BART,10,30
BLAN,20,50
BONA,10,30
CLBJ,40,60
CPER,20,50
DCFS,7,50
DEJU,12,30
DELA,40,60
DSNY,40,60
GRSM,10,50
GUAN,40,60
HARV,15,50
HEAL,5,60
JERC,40,60
JORN,50,75
KONA,12,75
KONZ,12,80
LAJA,40,60
LENO,50,90
MLBS,5,50
MOAB,10,70
NIWO,10,60
NOGP,10,60
OAES,2,60
ONAQ,8,50
ORNL,40,60
OSBS,40,60
PUUM,40,60
RMNP,10,40
SCBI,10,40
SERC,10,40
SJER,50,75
SOAP,7,40
SRER,10,60
STEI,10,60
STER,20,50
TALL,40,60
TEAK,7,40
TOOL,10,30
TREE,10,40
UKFS,10,40
UNDE,5,25
WOOD,10,50
WREF,5,25
YELL,5,30
